cQtrAvgEst,cQtrHighEst,cQtrLowEst,cQtrNoAnlst,cQtrYearAgoEPS,cYearAvgEst,cYearHighEst,cYearLowEst,cYearNoAnlst,cYearYearAgoEPS,nQtrAvgEst,nQtrHighEst,nQtrLowEst,nQtrNoAnlst,nQtrYearAgoEPS,nYearAvgEst,nYearHighEst,nYearLowEst,nYearNoAnlst,nYearYearAgoEPS,tickerName
-0.19,-0.19,-0.19,2,-3.09,-0.54,-0.09,-0.81,3,-2.78,-0.2,-0.19,-0.22,2,-2.01,-0.79,-0.79,-0.79,High Estimate,-0.54,A
1.88,1.93,1.84,9,1.7,7.48,7.56,7.4,10,5.92,1.73,1.79,1.7,9,1.54,8.41,8.62,8.22,High Estimate,7.48,A
0.29,0.46,0.15,3,-0.21,1.07,1.33,0.61,3,-0.73,0.54,0.65,0.36,3,-0.01,2.66,5.13,1.4,High Estimate,1.07,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
-1.05,-1.05,-1.05,1,-4.5,-4.14,-4.14,-4.14,1,-11.14,-0.96,-0.96,-0.96,1,-1.62,-3.02,-3.02,-3.02,High Estimate,-4.14,A
1.18,1.19,1.14,17,1.11,4.57,4.7,4.43,21,4.71,1.1,1.14,1.05,17,1.08,4.69,4.91,4.47,High Estimate,4.57,A
-0.58,-0.5,-0.69,8,-0.91,-2.36,-2.07,-2.75,8,-3.3,-0.57,-0.48,-0.7,8,-0.92,-2.29,-1.83,-3.11,High Estimate,-2.36,A
-0.4,-0.4,-0.41,2,-1.75,-2.18,-2.13,-2.23,2,-1.52,-0.52,-0.5,-0.54,2,-0.66,-2.1,-1.27,-2.94,High Estimate,-2.18,A
0.02,0.08,-0.1,7,-0.18,0.02,0.22,-0.34,8,-0.1,0.02,0.09,-0.1,7,-0.23,0.22,0.39,-0.15,High Estimate,0.02,A
-0.13,-0.03,-0.22,4,-1.03,-0.55,-0.4,-0.68,4,-0.84,-0.1,-0.05,-0.13,4,0.17,-0.31,-0.01,-0.61,High Estimate,-0.55,A
0,0,0,--,-0.04,0,0,0,--,--,0,0,0,--,-0.05,0,0,0,High Estimate,--,A
-0.09,-0.09,-0.09,1,-0.08,0.27,0.36,0.21,3,0.13,-0.06,-0.06,-0.06,1,-0.07,0.41,0.57,0.32,High Estimate,0.27,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
1.38,1.59,1.17,2,1.17,5,6.1,4.36,5,3.58,1.99,2.49,1.49,2,1.25,6.52,7.74,5.08,High Estimate,5,A
0.69,0.79,0.5,6,0.92,3.14,3.32,3.06,5,3.31,0.93,1.05,0.83,6,0.85,4.61,4.93,4.2,High Estimate,3.14,A
-0.46,-0.13,-0.7,5,-0.83,-1.21,-0.1,-2.32,7,-9.12,-0.39,-0.14,-0.64,5,-6.16,-0.36,2.02,-1.52,High Estimate,-1.21,A
0.03,0.1,-0.01,7,0.07,0.06,0.26,-0.09,8,0.14,0.06,0.1,0.01,7,0.07,0.33,0.51,0.11,High Estimate,0.06,A
2.01,2.03,1.99,2,1.83,7.99,8.03,7.95,2,7.22,2.05,2.07,2.03,2,1.92,8.67,8.8,8.54,High Estimate,7.99,A
4.1,4.9,3.77,21,4.08,3.03,17.72,-0.36,25,14.23,4.07,4.81,3.48,21,3.92,17.81,23.14,1.49,High Estimate,3.03,A
0.18,0.22,0.14,4,0.6,0.86,1.09,0.69,5,2.44,0.23,0.29,0.16,4,0.37,1.65,1.9,1.38,High Estimate,0.86,A
0.23,0.27,0.21,3,-1.13,0.35,0.36,0.33,4,0.76,0.26,0.28,0.23,3,1.24,0.97,1.25,0.76,High Estimate,0.35,A
-0.09,-0.06,-0.13,2,-0.09,-0.22,-0.15,-0.29,2,-0.35,-0.08,-0.07,-0.1,2,-0.09,-0.13,-0.13,-0.14,High Estimate,-0.22,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.42,-0.36,-0.47,5,-0.24,-1.47,-1.17,-1.76,5,-1.48,-0.34,-0.19,-0.45,5,-0.54,-0.96,-0.57,-1.51,High Estimate,-1.47,A
2.17,2.2,2.14,11,1.74,8.3,8.48,8.16,10,7.02,2.2,2.33,2.07,11,1.63,9.43,9.8,9.09,High Estimate,8.3,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
0.72,0.8,0.67,8,0.73,2.95,3.1,2.79,10,2.89,0.82,0.87,0.74,8,0.8,3.24,3.4,2.97,High Estimate,2.95,A
